"Section","Question","Answer"
"HOSTEL","What are the types of rooms available in the hostels of the University and what is the fee structure?","The following types of rooms are available in the hostels of the University for I year UG Students: GENTS RESIDENCE: 3 Seater room - A/c only, 4 Seater room - Non A/c only; GIRLS RESIDENCE: 2 Seater room - A/c only, 4 Seater room - Non A/c only. PG students can select a room of their choice. The hostel fee structure is given below: Hostel Fee (Per Semester): Six Seater - Rs. 11,500, Four Seater - Rs. 14,500, Double Seater - Rs. 17,500, Single Seater - Rs. 20,750, Dormitory - Rs. 6,000, Three Seater (A/c) - Rs. 32,000, Double Seater (A/c) - Rs. 40,000; One time payment: Hostel Admission Fee - Rs. 5,000 (all types), Hostel Deposit (Refundable) - Rs. 5,000 (non-A/c), Rs. 15,000 (A/c); Total (A+B): Six Seater - Rs. 21,500, Four Seater - Rs. 24,500, Double Seater - Rs. 27,500, Single Seater - Rs. 30,750, Dormitory - Rs. 16,000, Three Seater (A/c) - Rs. 52,000, Double Seater (A/c) - Rs. 60,000; Mess Fees (per semester): Vegetarian - Rs. 22,000, Non-Vegetarian - Rs. 23,500, Special Mess - Rs. 34,000 (Subject to change annually). Transport Fee (Applicable for day scholar student): Coimbatore - Rs. 18,000 per semester."
"HOSTEL","How are the rooms and mess allotted for students?","The senior students can select the rooms and mess online based on their choice and availability on first come first serve basis after payment of hostel and mess fees online. However, for the first year students the rooms are allotted by the Chief Warden on first come first serve basis on the day of enrollment after payment of the hostel and mess fees."
"HOSTEL","Is the Hostel attached to University? (or) How far is the hostel from University Campus?","The Hostel is situated adjacent to the University Campus."
"HOSTEL","I am from Andhra Pradesh. Do I have a separate mess which serves Andhra dishes?","Yes. There are five different Mess that caters to students from Tamil Nadu, Kerala, Andhra Pradesh & Telangana, North India and International Students. The menus for each Mess are decided by each of the Mess Committee: a) South Indian (Tamil Nadu) Mess; b) Kerala Mess; c) Andhra Mess; d) North Indian Mess; e) International (NRI) Mess. Both Vegetarian and Non-Vegetarian food is provided in the Hostel Mess."
"HOSTEL","Is there uninterrupted power supply in the Hostels?","24 x 7 power back up is available for all Hostels in the Campus. Students will have uninterrupted power supply throughout their stay in the Campus."
"HOSTEL","Do I have drinking water facility?","Karunya provides hygienic drinking water facility with water purifier in every hostel. The Students are provided with Siruvani water for drinking purposes in the hostel. Siruvani water is the world's second tastiest water. Bore well water is supplied in hostels for all other purposes."
"HOSTEL","What are the items (necessities) a student is advised to bring when occupying the hostel room in the first year of study?","Mattress, Pillows, Bucket & Mug, Plate, Bedspreads, Other personal belongings, etc."
"HOSTEL","What are the amenities (facilities) that are available in the hostels?","Fully equipped Gymnasium, Juice Shop, Cake Shop, Burger / Milk Shakes Shop, Departmental store, Stationery store, Hair dressers, Beauty Parlors, Shuttle court, Basketball Ground, Football Ground, Volleyball Ground, Laundry facility (outsourced), Geyser and Solar Water Heating Systems, Wi-Fi connectivity, ATM Facility."
"HOSTEL","Is the food prepared with quality and hygiene?","The Food is prepared by professional caterers with hygiene and quality using high pressure steam vessels and cookers."
"HOSTEL","Is the Dining hall attached with the hostel?","All hostels are attached with a dining hall."
"HOSTEL","Are the ATM facilities available on hostel campus?","The ATM facilities are available in the campus and also in the hostel entrances."
"HOSTEL","Does the Karunya Deemed University Campus have medical facilities?","Yes. The Karunya Deemed University has a fully furnished 100 bedded Community Hospital run by SEESHA. The Hospital has well trained, qualified Doctors (General Physician, Obstetrician/Gynecologist, Surgeon, Psychiatrist, Cardiologist, Dermatologist and Dentists) and Nurses. The Hospital is equipped with the following facilities and can address all medical emergencies: Pharmacy, Operation Theatre, Pain Relief Centre, Intensive Care Unit (ICU), X-Ray lab, Ultrasound lab, Blood Work lab, Dental Centre."
"HOSTEL","Is there a bank and Post Office nearby campus / hostels?","Yes. Canara (Syndicate) Bank and Indian Post Office are available in the campus."
"HOSTEL","I am a female student. How secure is Karunya for women?","Karunya is known for safety and security for all students. It is highly secure for female students. The entire campus is protected by strong boundary walls, CC TV Cameras and skilled Security Personnel. The Karunya Nagar Police Station is just 500 m away from the University / Residential Campus making it highly secure as the Police Personnel are involved in periodical patrol. The entry to Hostel Campus is bio-metric enabled thereby preventing any unauthorized entry into the secured campus."
"ACADEMICS","What is the medium of instruction in the Class?","English"
"ACADEMICS","What are the notable R&D facilities in the University?","Karunya Institute of Technology and Sciences possesses state-of-the-art laboratories in all its Departments in the areas of physics, chemistry and criminology, core engineering branches, circuit engineering branches, agriculture and food processing engineering and biotechnology. KITS has a food processing engineering laboratory and nano-science and technology laboratory established at a cost of Rs. 5 crores each from the Ministry of Food Processing Industries and the Department of Science and Technology of Government of India respectively. The food processing engineering laboratory is also accredited by NABL for its class and technology. The analytical facilities in the laboratories include: NMR, Ion-chromatograph, Atomic absorption Spectro Photometer, UV and Mass Spectro Photometer, HPLC, Scanning Electron Microscope, Atomic Force Microscope, XRD, etc. The facilities for studies in Mechanical and Aerospace engineering include Advanced Heat Pipe Fabrication Facility, Ergonomics laboratory, Thermal Imaging Camera, Stir Casting Furnace, Pin-on-disk Tribometer, UTM, Gas-chromatography, 3D Printer, Festo automation laboratory, Fanuc robot, CNC trainers and Industry grade CNC machining centers and CNC turning centers, Supersonic and Subsonic wind tunnels, 3D camera, Liquid propulsion test rig, Composite fabrication facility, Structures laboratory, etc. The laboratory of Civil engineering is well established with a UTM machine having a capacity of 100 tons available only in IITM and Karunya in the south of India. The Department also has facilities for testing civil structures, an Environmental laboratory for monitoring the atmosphere and its quality. The Karunya Siemens center and Karunya Salzer Center have testing and training facilities in the area Electrical engineering and automation. Several types of robots are available in the Department of Robotics and Automation for the purpose of studies and demonstration. The Department of Biomedical Engineering has established a laboratory with sophisticated instruments and is conducting several research projects for DST. The Computer Science and Engineering Department has all required software for application of AI, ML, Data Analytics, Cloud Computing and Cyber Security. The Department has centers of excellence established by Microsoft Corporation, SUSE, CSR lab, IBM, CISCO, Novell, etc. Apart from that there is full-fledged Computer Technology Center with all required hardware and software to cater to the requirements of KITS. The Electronics and Communication Engineering Department maintains one of the best VLSI laboratories and also has facilities for developing sensors and establishing IoT network. The state-of-the-art laboratory of Food Processing Engineering is used for incubation leading to start-ups. KITS has a farm of more than 500 acres cultivated with horticultural and wetland crops to cater to the requirements of Agriculture Department. There are eight sophisticated laboratories in the Department apart from a technologically upgraded polyhouse installed with Israeli expertise. A water institute laboratory has been established in collaboration with the Desert Research Institute of Israel. The laboratory has the most advanced equipment to carry out research on Water and related problems. The Department of Biotechnology has a research laboratory which caters to the entire biotech related research works. The Cell Biology laboratory, Algae biomass research laboratory, Cancer Nano-therapeutic research laboratory, CPCSEA approved animal house, etc. to name a few. These and many more facilities are available for the students and research scholars to carry out the best of the research works to solve societal problems of this world."
"ACADEMICS","Do you have competent Faculty in the University?","Yes. Karunya has highly competent internationally repute, industry certified Faculty team. Around 90% teaching staff in the University are PhD holders. They come from premier Institutions like IITs, IIMs, NITs in India and Universities Abroad. They have high teaching and research skills and have hands-on experience in state of art technologies. Every faculty is linked with the Industry in their specialization of work."
"ACADEMICS","Does the university support the student towards entrepreneurship or startups?","The University IPR (Intellectual Property Rights) cell helps the students in startups and also help students become entrepreneurs."
"ACADEMICS","Are Certificate courses / Value added courses provided by the Institute?","Certification courses are provided by each department. Students can take any certification course in the department of study."
"ACADEMICS","Can we use the laboratory facilities after working hours?","The Laboratory Facilities can be used after working hours under supervision of a Teaching Faculty."
"ACADEMICS","Is the library facility 24 x 7?","The Library is open throughout the day and open up to 11.00 p.m. Students can visit the library after dinner time."
"ACADEMICS","Does syllabus / curriculum of Programs offered in Karunya match with Industry, National and International Standards?","Of course yes. All the syllabus of Karunya Programs are industry driven and are updated periodically to match the National and Global Industry requirements. The syllabi are framed jointly with industry experts and Academicians of high repute. This is evident from the placement statistics of the University. The Faculty members are periodically trained on the latest skills prevailing in the Industry."
"ACADEMICS","I am interested to go abroad for higher studies. What are the opportunities available at Karunya?","Karunya provides GRE / TOEFL training with the help of authorized training partners. The Faculty members mentor the interested students for identifying renowned institutions with Scholarships for their higher studies."
"ACADEMICS","I am passionate to pursue Civil Services Examinations. Do you have any specialized training?","Yes. The University arranges the specialized trainings through our authorized Training Partners."
"ACADEMICS","I would like to be Industry relevant. Will the University help me in obtaining additional Industry certifications?","Definitely yes. Each department has tie-ups with Industry and offer additional Industry Certificate. The details are available in Department Website."
"PLACEMENT","Do you have a separate Placement and Training Centre?","Yes. Karunya has well established Centre for Placement and Training which facilitates students to get Campus placements in Core Companies. The Centre for Placement and Training provides, systematic training towards placement from second year onwards. The systematic training includes, awareness & orientation, aptitude training, soft skills training, technical training and mock interviews. The highest salary offer obtained by student was Rs. 30 lakhs per annum."
"PLACEMENT","In which year does the final recruitment process of the Company begin?","The final recruitment starts when the student completes his pre-final year of study."
"PLACEMENT","What is the highest average salary at Karunya considering the past 3 years?","The Average salary of students placed in companies is Rs. 5 lakhs per annum."
"PLACEMENT","What is the highest salary package of the Students in the past 3 years?","The highest salary package of the Student was Rs. 30 lakhs per annum."
"PLACEMENT","Are the placements done on campus or off campus?","All placement drives are on campus. Recruiters visit the campus every year for recruitment."
"PLACEMENT","I am interested to get placement opportunities in core companies. What are the opportunities available at Karunya?","Karunya has well established Centre for Placement and Training which facilitates students to get Campus placements in Core Companies. The Centre for Placement and Training provides, systematic training towards placement from second year onwards. The systematic training includes, aptitude training, soft skills training, technical training and mock interviews. The highest salary offer obtained by student was Rs. 30 lakhs per annum."
"PLACEMENT","I wish to go abroad for Internships. Do Karunya University have facilities for sending students abroad for internships?","Yes. The University provides a platform for our students to pursue their internships in Industries / Institutions at around 40 different countries such as United States, Canada, United Kingdom, Norway, Poland, Israel, etc. with an attractive stipend (Highest stipend equivalent to INR 1.42 lakhs per month in Norway) during the period of internship. After joining Karunya University, you can enroll for Internships abroad."
"PLACEMENT","I wish to become an Entrepreneur and start a company on my own. I also have an idea to develop a product. Will Karunya nurture my ideas on product development and help me in filing a patent?","Karunya has an excellent eco-system that facilitates innovations, entrepreneurship and product development. Karunya has established Karunya Innovation and Design Studio at Computer Technology Centre to facilitate innovations and product development. Each department has an Entrepreneur cell and interested students can register in this Cell. The Entrepreneur Cell provides training to the Students in developing entrepreneurial skills and facilitates students to develop business proposals, company formation and registration. The Cell also assists the Students in connecting with Angel Investors for seed funding through Karunya Alumni Business Network. Each Student is trained to develop a product by the end of their academic program. The University has an IPR Cell (Intellectual Property Rights Cell), which facilitates securing the idea / developed product as a Patent."
